id,x,y,z,time,length,vx,vy,vz,speed
1,0.0173332,-1.59293,0.995424,0,0.142041,-0,0,0,0
2,-0.0635261,-1.56352,0.882407,0,0.42575,-0,0,0,0
3,-0.0297,-1.38271,0.498445,0,0.435671,-0,0,0,0
4,0.00417612,-1.48268,0.075753,0,0.12329,-0,0,0,0
5,0.0210991,-1.36694,0.0367909,0,0.0619292,-0,0,0,0
6,0.0173332,-1.59293,0.995424,0,0.141581,-0,0,0,0
7,0.112712,-1.55907,0.89642,0,0.419585,-0,0,0,0
8,0.103859,-1.60872,0.479876,0,0.438639,-0,0,0,0
9,0.0997676,-2.04733,0.476563,0,0.125831,-0,0,0,0
10,0.111367,-2.13064,0.38298,0,0.0630931,-0,0,0,0
11,0.0173332,-1.59293,0.995424,0,0.110109,-0,0,0,0
12,0.0115445,-1.57557,1.104,0,0.110769,-0,0,0,0
13,0.00558095,-1.54043,1.20888,0,0.113377,-0,0,0,0
14,-0.00279238,-1.51016,1.31782,0,0.0992071,-0,0,0,0
15,-0.0119005,-1.49022,1.41457,0,0.0974229,-0,0,0,0
16,-0.0227156,-1.48802,1.51137,0,0.101584,-0,0,0,0
17,-0.00279238,-1.51016,1.31782,0,0.1964,-0,0,0,0
18,-0.185788,-1.53571,1.3844,0,0.311741,-0,0,0,0
19,-0.199905,-1.68356,1.11031,0,0.202451,-0,0,0,0
20,-0.168425,-1.48688,1.07406,0,0.101225,-0,0,0,0
21,-0.152685,-1.38854,1.05594,0,0.0302772,-0,0,0,0
22,-0.168092,-1.36459,1.04567,0,0.0244103,-0,0,0,0
23,-0.152685,-1.38854,1.05594,0,0.0350485,-0,0,0,0
24,-0.00279238,-1.51016,1.31782,0,0.194223,-0,0,0,0
25,0.165083,-1.51727,1.41524,0,0.330073,-0,0,0,0
26,0.259847,-1.64057,1.12409,0,0.204732,-0,0,0,0
27,0.221476,-1.48163,1.00088,0,0.102366,-0,0,0,0
28,0.20229,-1.40216,0.939269,0,0.0367177,-0,0,0,0
29,0.19825,-1.36616,0.94527,0,0.0296028,-0,0,0,0
30,0.20229,-1.40216,0.939269,0,0.0425039,-0,0,0,0
1,0.0171436,-1.56493,0.991292,0.00833333,0.142041,-0.000189595,0.0280018,-0.00413162,0.0283056
