id,x,y,z,time,length,vx,vy,vz,speed
1,-1.59223,7.86552,3.72086,0,0.129275,-0,0,0,0
2,-1.27671,7.7264,3.33551,0,0.363239,-0,0,0,0
3,-1.32732,7.51388,1.89907,0,0.419434,-0,0,0,0
4,-1.2229,8.07305,0.320715,0,0.100718,-0,0,0,0
5,-1.26077,7.67214,0.308821,0,0.0512692,-0,0,0,0
6,-1.59223,7.86552,3.72086,0,0.13724,-0,0,0,0
7,-1.97652,7.75225,3.34556,0,0.374499,-0,0,0,0
8,-1.88284,7.74592,1.85051,0,0.387506,-0,0,0,0
9,-1.77862,8.07376,0.339139,0,0.099977,-0,0,0,0
10,-1.79237,7.68745,0.236664,0,0.0501941,-0,0,0,0
11,-1.59223,7.86552,3.72086,0,0.11406,-0,0,0,0
12,-1.57704,7.86214,4.17683,0,0.113686,-0,0,0,0
13,-1.54939,7.87818,4.63045,0,0.114573,-0,0,0,0
14,-1.55074,7.8639,5.08852,0,0.0897652,-0,0,0,0
15,-1.54251,7.88953,5.44657,0,0.0888914,-0,0,0,0
16,-1.53611,7.81774,5.79475,0,0.0904989,-0,0,0,0
17,-1.55074,7.8639,5.08852,0,0.197736,-0,0,0,0
18,-0.81757,7.85601,5.38515,0,0.261453,-0,0,0,0
19,-0.760334,7.82578,4.34135,0,0.192996,-0,0,0,0
20,-0.683493,7.57842,3.61411,0,0.0964978,-0,0,0,0
21,-0.645073,7.45474,3.2505,0,0.0352984,-0,0,0,0
22,-0.627866,7.33761,3.17356,0,0.0284585,-0,0,0,0
23,-0.645073,7.45474,3.2505,0,0.0408609,-0,0,0,0
24,-1.55074,7.8639,5.08852,0,0.221259,-0,0,0,0
25,-2.41493,7.86893,5.27937,0,0.248715,-0,0,0,0
26,-2.35813,8.04025,4.30103,0,0.194548,-0,0,0,0
27,-2.53676,7.94477,3.54965,0,0.0972745,-0,0,0,0
28,-2.62608,7.89703,3.17397,0,0.0289938,-0,0,0,0
29,-2.69057,7.95324,3.09566,0,0.0233755,-0,0,0,0
30,-2.62608,7.89703,3.17397,0,0.0335627,-0,0,0,0
1,-1.58994,7.86911,3.72167,0.0166667,0.129275,0.000572324,0.000897408,0.000203133,0.00108359
2,-1.27297,7.72859,3.33803,0.0166667,0.363239,0.000935763,0.000545859,0.000629902,0.00125315
3,-1.32616,7.51923,1.90122,0.0166667,0.419434,0.000290304,0.00133824,0.000536889,0.00147086
4,-1.22399,8.07417,0.321221,0.0166667,0.100718,-0.000272393,0.000279427,0.00012663,0.000410259
5,-1.26201,7.67324,0.310414,0.0166667,0.0512692,-0.000309557,0.000275254,0.000398248,0.000574623
6,-1.58994,7.86911,3.72167,0.0166667,0.13724,0.000572324,0.000897408,0.000203133,0.00108359
7,-1.9727,7.75736,3.34437,0.0166667,0.374499,0.000953406,0.00127661,-0.000298619,0.00162108
8,-1.87998,7.74588,1.84929,0.0166667,0.387506,0.000713944,-9.89437e-06,-0.000305921,0.00077679
9,-1.77676,8.07428,0.33797,0.0166667,0.099977,0.000465542,0.000131369,-0.000292331,0.000565194
10,-1.79087,7.68782,0.236134,0.0166667,0.0501941,0.000374764,9.2268e-05,-0.000132401,0.000408034
11,-1.58994,7.86911,3.72167,0.0166667,0.11406,0.000572324,0.000897408,0.000203133,0.00108359
12,-1.57455,7.86575,4.17764,0.0166667,0.113686,0.000620693,0.000902057,0.000201583,0.00111337
13,-1.54646,7.88137,4.63124,0.0166667,0.114573,0.000732243,0.00079608,0.000198483,0.00109969
